domain	sector	definition
geography	address	address
geography	address	calling_code
geography	address	city
geography	address	continent
geography	address	coordinates
geography	address	country
geography	address	country_code
geography	address	country_emoji_flag
geography	address	default_country
geography	address	federal_subject
geography	address	iata_code
geography	address	icao_code
geography	address	isd_code
geography	address	latitude
geography	address	longitude
geography	address	postal_code
geography	address	prefecture
geography	address	province
geography	address	region
geography	address	state
geography	address	street_name
geography	address	street_number
geography	address	street_suffix
geography	address	zip_code
technology	code	ean
technology	code	imei
technology	code	isbn
technology	code	issn
geography	code	locale_code
representation	code	pin
representation	cryptographic	hash
representation	cryptographic	mnemonic_phrase
representation	cryptographic	token_hex
representation	cryptographic	token_urlsafe
representation	cryptographic	uuid
datetime	date	abbreviated_month
datetime	datetime	american
datetime	datetime	century
datetime	datetime	date
datetime	datetime	datetime
datetime	datetime	day_of_month
datetime	datetime	day_of_week
datetime	datetime	duration
datetime	datetime	european
datetime	datetime	formatted_date
datetime	datetime	formatted_datetime
datetime	datetime	formatted_time
datetime	date	full_weekday_abbreviated_month
datetime	datetime	gmt_offset
datetime	datetime	iso_8601
datetime	datetime	iso_8601_compact
datetime	datetime	iso_8601_ext
datetime	datetime	iso_8601_with_time_zone_name
datetime	date	julian
datetime	date	long_full_month_name
datetime	date	long_weekday_month_name
datetime	date	month
datetime	date	numeric_dmy
datetime	date	numeric_mdy
datetime	date	numeric_ymd
datetime	date	ordinal
datetime	datetime	periodicity
datetime	datetime	rfc_2822
datetime	datetime	rfc_2822_with_ordinals
datetime	datetime	rfc_3339
datetime	datetime	short_dmy
datetime	datetime	short_mdy
datetime	datetime	short_ymd
datetime	datetime	sql_standard
datetime	datetime	time
datetime	datetime	timestamp
datetime	datetime	timezone
datetime	datetime	unix_epoch_in_milliseconds
datetime	datetime	unix_timestamp
datetime	datetime	week_date
datetime	datetime	year
technology	development	boolean
technology	development	calver
technology	development	ility
technology	development	os
technology	development	programming_language
technology	development	software_license
technology	development	stage
technology	development	system_quality_attribute
technology	development	version
technology	file	extension
technology	file	file_name
technology	file	mime_type
technology	file	size
technology	finance	bank
technology	finance	company
technology	finance	company_type
technology	finance	cryptocurrency_iso_code
technology	finance	cryptocurrency_symbol
technology	finance	currency_iso_code
technology	finance	currency_symbol
technology	finance	price
technology	finance	price_in_btc
technology	finance	stock_exchange
technology	finance	stock_name
technology	finance	stock_ticker
technology	food	dish
technology	food	drink
technology	food	fruit
technology	food	spices
technology	food	vegetable
technology	hardware	cpu
technology	hardware	cpu_codename
technology	hardware	cpu_frequency
technology	hardware	generation
technology	hardware	graphics
technology	hardware	manufacturer
technology	hardware	phone_model
technology	hardware	ram_size
technology	hardware	ram_type
technology	hardware	resolution
technology	hardware	screen_size
technology	hardware	ssd_or_hdd
technology	internet	asn
technology	internet	content_type
technology	internet	dsn
technology	internet	hostname
technology	internet	http_method
technology	internet	http_request_headers
technology	internet	http_response_headers
technology	internet	http_status_code
technology	internet	http_status_message
technology	internet	ip_v4
technology	internet	ip_v4_with_port
technology	internet	ip_v6
technology	internet	mac_address
technology	internet	path
technology	internet	port
technology	internet	public_dns
technology	internet	query_parameters
technology	internet	query_string
technology	internet	slug
technology	internet	special_ip_v4
technology	internet	stock_image_url
technology	internet	tld
technology	internet	top_level_domain
technology	internet	uri
technology	internet	url
technology	internet	user_agent
representation	numeric	complex_number
representation	numeric	complexes
representation	numeric	decimal_number
representation	numeric	decimals
representation	numeric	float_number
representation	numeric	floats
representation	numeric	increment
representation	numeric	integer_number
representation	numeric	integers
representation	numeric	matrix
technology	path	dev_dir
technology	path	home
technology	path	project_dir
technology	path	root
technology	path	user
technology	path	users_folder
technology	payment	bitcoin_address
technology	payment	cid
technology	payment	credit_card_expiration_date
technology	payment	credit_card_network
technology	payment	credit_card_number
technology	payment	credit_card_owner
technology	payment	cvv
technology	payment	ethereum_address
technology	payment	paypal
identity	person	academic_degree
identity	person	blood_type
identity	person	email
identity	person	first_name
identity	person	full_name
identity	person	gender
identity	person	gender_code
identity	person	gender_symbol
identity	person	height
identity	person	identifier
identity	person	language
identity	person	last_name
identity	person	name
identity	person	nationality
identity	person	occupation
identity	person	password
identity	person	phone_number
identity	person	political_views
identity	person	sex
identity	person	surname
identity	person	telephone
identity	person	title
identity	person	university
identity	person	username
identity	person	views_on
identity	person	weight
identity	person	worldview
representation	science	dna_sequence
representation	science	measure_unit
representation	science	metric_prefix
representation	science	rna_sequence
representation	text	alphabet
representation	text	answer
representation	text	color
representation	text	emoji
representation	text	level
representation	text	quote
representation	text	rgb_color
representation	text	sentence
representation	text	text
representation	text	title
representation	text	word
representation	text	words
technology	transport	airplane
technology	transport	car
technology	transport	manufacturer
technology	transport	vehicle_registration_code
