provider_name,method,coincidence
internet,stock_image_url,42000
path,home,42000
path,root,42000
food,spices,22000
food,vegetable,21999
text,quote,21992
person,nationality,21700
development,boolean,21588
person,language,21426
person,occupation,17872
person,political_views,15874
finance,cryptocurrency_symbol,15238
person,gender_symbol,14386
text,sentence,13286
text,title,13279
food,dish,13199
finance,currency_symbol,13000
finance,currency_iso_code,13000
person,gender_code,12533
datetime,day_of_month,12395
numeric,integer_number,12179
numeric,increment,12178
food,drink,10062
payment,credit_card_network,9708
development,stage,9284
transport,vehicle_registration_code,8519
person,last_name,8488
finance,company,8236
address,street_name,8159
text,alphabet,8000
person,first_name,7438
person,name,7410
hardware,ram_type,7392
person,gender,7094
person,worldview,7026
person,sex,6874
finance,get_current_locale,6672
food,get_current_locale,6671
code,locale_code,6669
person,get_current_locale,6610
text,get_current_locale,6588
datetime,get_current_locale,6587
hardware,ram_size,6552
address,get_current_locale,6507
finance,stock_exchange,6468
text,word,6408
internet,http_method,6090
hardware,generation,5754
person,blood_type,5628
development,software_license,5208
address,iata_code,4943
hardware,cpu_codename,4746
datetime,timezone,4662
hardware,cpu,4620
hardware,manufacturer,3990
development,os,3822
food,fruit,3770
finance,stock_ticker,3477
internet,public_dns,3360
hardware,screen_size,3318
finance,company_type,3204
person,views_on,2728
text,answer,2699
datetime,century,2688
science,metric_prefix,2604
finance,cryptocurrency_iso_code,2521
hardware,resolution,2436
person,title,2373
science,measure_unit,2352
person,academic_degree,2345
hardware,cpu_frequency,2184
address,continent,2058
text,text,2000
address,default_country,1994
address,country,1981
internet,special_ip_v4,1848
address,country_code,1827
hardware,phone_model,1806
text,level,1792
datetime,gmt_offset,1680
address,street_suffix,1573
development,ility,1554
development,system_quality_attribute,1551
datetime,year,1512
datetime,month,1346
hardware,graphics,1344
address,calling_code,1260
file,extension,1260
address,isd_code,1258
transport,manufacturer,1184
datetime,day_of_week,1178
development,programming_language,1176
address,federal_subject,1116
internet,content_type,1092
person,weight,1074
address,region,1053
address,prefecture,1051
internet,http_status_message,1050
internet,http_status_code,1050
address,province,1042
file,mime_type,1032
datetime,periodicity,1022
person,height,1009
internet,port,1005
text,words,1000
address,state,988
hardware,ssd_or_hdd,882
internet,top_level_domain,878
internet,tld,876
text,color,778
person,surname,771
address,city,659
payment,credit_card_expiration_date,630
finance,bank,532
text,emoji,528
transport,airplane,504
person,university,446
file,size,378
datetime,week_date,336
address,country_emoji_flag,326
payment,cvv,280
address,street_number,276
transport,car,252
address,zip_code,250
address,postal_code,228
internet,user_agent,210
finance,stock_name,203
code,pin,188
payment,cid,170
development,calver,168
file,file_name,126
path,user,126
address,icao_code,87
internet,hostname,84
path,users_folder,84
science,dna_sequence,84
science,rna_sequence,84
development,version,84
datetime,formatted_time,82
datetime,formatted_date,56
person,username,45
code,ean,43
payment,ethereum_address,42
payment,bitcoin_address,42
internet,ip_v6,42
internet,ip_v4,42
code,issn,42
internet,url,42
numeric,floats,42
numeric,matrix,42
internet,http_response_headers,42
internet,slug,42
text,rgb_color,42
payment,credit_card_number,42
person,email,42
datetime,timestamp,42
text,hex_color,42
internet,asn,42
internet,uri,42
numeric,float_number,42
path,project_dir,42
internet,path,42
payment,paypal,42
finance,price,42
internet,mac_address,42
path,dev_dir,42
cryptographic,mnemonic_phrase,42
internet,dsn,42
internet,http_request_headers,42
payment,credit_card_owner,42
internet,query_parameters,42
code,isbn,42
internet,query_string,42
internet,ip_v4_with_port,42
code,imei,42
numeric,integers,42
person,telephone,39
finance,price_in_btc,24
address,longitude,17
address,latitude,17
address,coordinates,14
datetime,formatted_datetime,14
person,identifier,10
person,password,8
person,full_name,8
address,address,8
person,phone_number,5
cryptographic,token_urlsafe,1
cryptographic,uuid,1
cryptographic,hash,1
cryptographic,token_hex,1
